# GRAPHICS.PAK resource catalog
# Source: @react95/icons 2.5.3
# Entries: 975
# name,width,height,source
Defrag2,32,32,Defrag2_32x32_4.png
Defrag3,32,32,Defrag3_32x32_4.png
Defrag4,32,32,Defrag4_32x32_4.png
Defrag5,32,32,Defrag5_32x32_4.png
Defrag6,32,32,Defrag6_32x32_4.png
Defrag7,32,32,Defrag7_32x32_4.png
Defrag8,32,32,Defrag8_32x32_4.png
Defrag9,32,32,Defrag9_32x32_4.png
Delete,16,16,Delete_16x16_4.png
Desk100,32,32,Desk100_32x32_4.png
Desktop,32,32,Desktop_32x32_4.png
Detlicon,16,16,Detlicon_16x16_4.png
Dial,32,32,Dial_32x32_4.png
Dialer1,32,32,Dialer1_32x32_4.png
Dialer2,32,32,Dialer2_32x32_4.png
Dialmon200,32,32,Dialmon200_32x32_4.png
Directcc1001,32,32,Directcc1001_32x32_4.png
Directcc1002,32,32,Directcc1002_32x32_4.png
Directcc1003,32,32,Directcc1003_32x32_4.png
Directcc1004,32,32,Directcc1004_32x32_4.png
Directcc1005,32,32,Directcc1005_32x32_4.png
DirectccDirectcc,32,32,DirectccDirectcc_32x32_4.png
Diskcopy1,32,32,Diskcopy1_32x32_4.png
Doc,16,16,Doc_16x16_4.png
DocGris,16,16,DocGris_16x16_4.png
Download,16,16,Download_16x16_4.png
Dpmodemx701,32,32,Dpmodemx701_32x32_4.png
Drvspace1,32,32,Drvspace1_32x32_4.png
Drvspace2,32,32,Drvspace2_32x32_4.png
Drvspace3,32,32,Drvspace3_32x32_4.png
Drvspace4,32,32,Drvspace4_32x32_4.png
Drvspace5,32,32,Drvspace5_32x32_4.png
Drvspace6,32,32,Drvspace6_32x32_4.png
Drvspace7,32,32,Drvspace7_32x32_4.png
Drvspace8,32,32,Drvspace8_32x32_4.png
Earth,32,32,Earth_32x32_4.png
Explore,32,32,Explore_32x32_4.png
Explorer100,32,32,Explorer100_32x32_4.png
Explorer101,32,32,Explorer101_32x32_4.png
Explorer102,32,32,Explorer102_32x32_4.png
Explorer103,32,32,Explorer103_32x32_4.png
Explorer104,16,16,Explorer104_16x16_4.png
Explorer105,32,32,Explorer105_32x32_4.png
Explorer107,32,32,Explorer107_32x32_4.png
Explorer108,32,32,Explorer108_32x32_4.png
Expostrt128,32,32,Expostrt128_32x32_4.png
Fave,16,16,Fave_16x16_4.png
Fax,32,32,Fax_32x32_4.png
Faxcover108,32,32,Faxcover108_32x32_4.png
Faxcover140,32,32,Faxcover140_32x32_4.png
Faxcover2,32,32,Faxcover2_32x32_4.png
Faxcover3,32,32,Faxcover3_32x32_4.png
FaxWarning,32,32,FaxWarning_32x32_4.png
FileCorrupted,32,32,FileCorrupted_32x32_4.png
FileDelete,32,32,FileDelete_32x32_4.png
FileFind,32,32,FileFind_32x32_4.png
FileFind2,32,32,FileFind2_32x32_4.png
FileFind3,32,32,FileFind3_32x32_4.png
FileFont,32,32,FileFont_32x32_4.png
FileFont2,32,32,FileFont2_32x32_4.png
FileIcons,32,32,FileIcons_32x32_4.png
FilePen,32,32,FilePen_32x32_4.png
FilePencil,32,32,FilePencil_32x32_4.png
FilePick,32,32,FilePick_32x32_4.png
FilePin,32,32,FilePin_32x32_4.png
Files,32,32,Files_32x32_4.png
FileSettings,32,32,FileSettings_32x32_4.png
FileText,32,32,FileText_32x32_4.png
FileTextSettings,32,32,FileTextSettings_32x32_4.png
FileTransfer,32,32,FileTransfer_32x32_4.png
Filexfer128,32,32,Filexfer128_32x32_4.png
Filexfer129,32,32,Filexfer129_32x32_4.png
Filexfer130,32,32,Filexfer130_32x32_4.png
FindArr,16,16,FindArr_16x16_4.png
FindDc2,16,16,FindDc2_16x16_4.png
FindDoc,16,16,FindDoc_16x16_4.png
FlyingThroughSpace100,32,32,FlyingThroughSpace100_32x32_4.png
FlyingWindows100,32,32,FlyingWindows100_32x32_4.png
Fm20enu5,32,32,Fm20enu5_32x32_4.png
Folder,32,32,Folder_32x32_4.png
FolderExe,32,32,FolderExe_32x32_4.png
FolderExe2,32,32,FolderExe2_32x32_4.png
FolderFile,32,32,FolderFile_32x32_4.png
FolderFont,32,32,FolderFont_32x32_4.png
FolderOpen,32,32,FolderOpen_32x32_4.png
FolderPrint,32,32,FolderPrint_32x32_4.png
FolderRename,32,32,FolderRename_32x32_4.png
FolderSettings,32,32,FolderSettings_32x32_4.png
FolderSettings2,32,32,FolderSettings2_32x32_4.png
FolderShared,32,32,FolderShared_32x32_4.png
Font,32,32,Font_32x32_4.png
Font2,16,16,Font2_16x16_4.png
FontBig,16,16,FontBig_16x16_4.png
Fontext1,32,32,Fontext1_32x32_4.png
Fontext2,32,32,Fontext2_32x32_4.png
Fontext3,32,32,Fontext3_32x32_4.png
Fontext4,32,32,Fontext4_32x32_4.png
FontSml,16,16,FontSml_16x16_4.png
Fontview110,32,32,Fontview110_32x32_4.png
Fontview111,32,32,Fontview111_32x32_4.png
FontWid,16,16,FontWid_16x16_4.png
Forbidden,32,32,Forbidden_32x32_4.png
Format16,16,16,Format16_16x16_4.png
Freecell1,32,32,Freecell1_32x32_4.png
Fte128,32,32,Fte128_32x32_4.png
Fullscrn,16,16,Fullscrn_16x16_4.png
Gcdef100,32,32,Gcdef100_32x32_8.png
Gcdef10001,32,32,Gcdef10001_32x32_4.png
Gcdef10002,32,32,Gcdef10002_32x32_4.png
Gcdef10003,32,32,Gcdef10003_32x32_4.png
Gcdef10004,32,32,Gcdef10004_32x32_4.png
Gcdef10005,32,32,Gcdef10005_32x32_4.png
Gcdef10006,32,32,Gcdef10006_32x32_4.png
Gcdef10007,32,32,Gcdef10007_32x32_4.png
Gcdef10008,32,32,Gcdef10008_32x32_4.png
Gcdef10009,32,32,Gcdef10009_32x32_4.png
Gcdef10010,32,32,Gcdef10010_32x32_4.png
Gcdef10011,32,32,Gcdef10011_32x32_4.png
Gcdef10012,32,32,Gcdef10012_32x32_4.png
Gcdef10013,32,32,Gcdef10013_32x32_4.png
Gcdef10014,32,32,Gcdef10014_32x32_4.png
Gcdef10015,32,32,Gcdef10015_32x32_4.png
Gcdef10016,32,32,Gcdef10016_32x32_4.png
Gcdef10017,32,32,Gcdef10017_32x32_4.png
Gcdef10018,32,32,Gcdef10018_32x32_4.png
Gcdef10019,32,32,Gcdef10019_32x32_4.png
Gcdef10020,32,32,Gcdef10020_32x32_4.png
Gcdef10021,32,32,Gcdef10021_32x32_4.png
Gcdef10022,32,32,Gcdef10022_32x32_4.png
Gcdef10023,32,32,Gcdef10023_32x32_4.png
Gcdef10024,32,32,Gcdef10024_32x32_4.png
Gcdef10025,32,32,Gcdef10025_32x32_4.png
Gcdef10026,32,32,Gcdef10026_32x32_4.png
Gcdef10027,32,32,Gcdef10027_32x32_4.png
Gcdef10028,32,32,Gcdef10028_32x32_4.png
Gcdef10029,32,32,Gcdef10029_32x32_4.png
Gcdef10030,32,32,Gcdef10030_32x32_4.png
Gcdef10031,32,32,Gcdef10031_32x32_4.png
Gcdef10032,32,32,Gcdef10032_32x32_4.png
Gcdef10033,32,32,Gcdef10033_32x32_4.png
Gcdef10034,32,32,Gcdef10034_32x32_4.png
Gcdef10035,32,32,Gcdef10035_32x32_4.png
Gcdef10036,32,32,Gcdef10036_32x32_4.png
Gcdef10037,32,32,Gcdef10037_32x32_4.png
Gcdef10038,32,32,Gcdef10038_32x32_4.png
Gcdef10039,32,32,Gcdef10039_32x32_4.png
Gcdef10040,32,32,Gcdef10040_32x32_4.png
Gcdef10041,32,32,Gcdef10041_32x32_4.png
Gcdef10042,32,32,Gcdef10042_32x32_4.png
Gcdef10043,32,32,Gcdef10043_32x32_4.png
Gcdef10044,32,32,Gcdef10044_32x32_4.png
Gcdef10045,32,32,Gcdef10045_32x32_4.png
Gcdef10046,32,32,Gcdef10046_32x32_4.png
Gcdef10047,32,32,Gcdef10047_32x32_4.png
Gcdef10048,32,32,Gcdef10048_32x32_4.png
Gcdef10049,32,32,Gcdef10049_32x32_4.png
Gcdef10050,32,32,Gcdef10050_32x32_4.png
Gcdef10051,32,32,Gcdef10051_32x32_4.png
Gcdef10052,32,32,Gcdef10052_32x32_4.png
Gcdef10053,32,32,Gcdef10053_32x32_4.png
Gcdef10054,32,32,Gcdef10054_32x32_4.png
Gcdef10055,32,32,Gcdef10055_32x32_4.png
Gcdef10056,32,32,Gcdef10056_32x32_4.png
Gcdef10057,32,32,Gcdef10057_32x32_4.png
Gcdef10058,32,32,Gcdef10058_32x32_4.png
Gcdef10059,32,32,Gcdef10059_32x32_4.png
Gcdef10060,32,32,Gcdef10060_32x32_4.png
Gcdef10061,32,32,Gcdef10061_32x32_4.png
Gcdef10062,32,32,Gcdef10062_32x32_4.png
Gcdef10063,32,32,Gcdef10063_32x32_4.png
Gcdef10064,32,32,Gcdef10064_32x32_4.png
Gcdef101,32,32,Gcdef101_32x32_4.png
Gcdef102,32,32,Gcdef102_32x32_4.png
Gcdef103,32,32,Gcdef103_32x32_4.png
Gcdef104,32,32,Gcdef104_32x32_4.png
Gcdef105,32,32,Gcdef105_32x32_4.png
Gcdef106,32,32,Gcdef106_32x32_4.png
Gcdef107,32,32,Gcdef107_32x32_4.png
Gcdef108,48,48,Gcdef108_48x48_8.png
Gcdef109,48,48,Gcdef109_48x48_8.png
Gcdef110,48,48,Gcdef110_48x48_8.png
Gcdef111,48,48,Gcdef111_48x48_8.png
Gcdef112,48,48,Gcdef112_48x48_8.png
Gcdef113,48,48,Gcdef113_48x48_8.png
Gcdef114,48,48,Gcdef114_48x48_8.png
Gcdef115,48,48,Gcdef115_48x48_8.png
Gcdef116,48,48,Gcdef116_48x48_8.png
Gcdef117,48,48,Gcdef117_48x48_8.png
Gcdef122,48,48,Gcdef122_48x48_8.png
Gcdef124,64,64,Gcdef124_64x64_4.png
Globe,32,32,Globe_32x32_4.png
Grpconv100,32,32,Grpconv100_32x32_4.png
Grpconv101,32,32,Grpconv101_32x32_4.png
Hand,32,32,Hand_32x32_4.png
HardwareDiag,32,32,HardwareDiag_32x32_4.png
Help,16,16,Help_16x16_4.png
HelpBook,32,32,HelpBook_32x32_4.png
HelpPtr,16,16,HelpPtr_16x16_4.png
HtmlPage,16,16,HtmlPage_16x16_8.png
Icmui1200,32,32,Icmui1200_32x32_4.png
Icmui1201,32,32,Icmui1201_32x32_4.png
Icwdial101,32,32,Icwdial101_32x32_4.png
Icwdial102,32,32,Icwdial102_32x32_4.png
Ie,16,16,Ie_16x16_8.png
Imgadmin214,32,32,Imgadmin214_32x32_4.png
Imgedit10,32,32,Imgedit10_32x32_4.png
Imgedit277,32,32,Imgedit277_32x32_4.png
Imgscan10,32,32,Imgscan10_32x32_4.png
Imgthumb10,32,32,Imgthumb10_32x32_4.png
Inetcfg2300,32,32,Inetcfg2300_32x32_4.png
Inetcfg2301,32,32,Inetcfg2301_32x32_4.png
Inetcfg2302,32,32,Inetcfg2302_32x32_4.png
Inetcfg2303,32,32,Inetcfg2303_32x32_4.png
Inetcpl1301,32,32,Inetcpl1301_32x32_4.png
Inetcpl1302,32,32,Inetcpl1302_32x32_4.png
Inetcpl1303,32,32,Inetcpl1303_32x32_4.png
Inetcpl1304,32,32,Inetcpl1304_32x32_4.png
Inetcpl1305,32,32,Inetcpl1305_32x32_4.png
Inetcpl1306,32,32,Inetcpl1306_32x32_4.png
Inetcpl1307,32,32,Inetcpl1307_32x32_4.png
Inetcpl1308,32,32,Inetcpl1308_32x32_4.png
Inetcpl1309,32,32,Inetcpl1309_32x32_4.png
Inetcpl1310,32,32,Inetcpl1310_32x32_4.png
Inetcpl1311,32,32,Inetcpl1311_32x32_4.png
Inetcpl1312,32,32,Inetcpl1312_32x32_4.png
Inetcpl1313,32,32,Inetcpl1313_32x32_8.png
Inetcpl1314,32,32,Inetcpl1314_32x32_4.png
Inetcpl1315,32,32,Inetcpl1315_32x32_4.png
Inetcpl1317,32,32,Inetcpl1317_32x32_4.png
Inetcpl1318,32,32,Inetcpl1318_32x32_4.png
Inetcpl1319,32,32,Inetcpl1319_32x32_4.png
Inetcpl1320,32,32,Inetcpl1320_32x32_4.png
Inetcpl1321,32,32,Inetcpl1321_32x32_4.png
Inetcpl4432,32,32,Inetcpl4432_32x32_4.png
InfoBubble,32,32,InfoBubble_32x32_4.png
Install,32,32,Install_32x32_4.png
Internat151,16,16,Internat151_16x16_4.png
Intl101,32,32,Intl101_32x32_4.png
Isign32100,32,32,Isign32100_32x32_4.png
Isign324001,32,32,Isign324001_32x32_4.png
Isign32IcoApp,32,32,Isign32IcoApp_32x32_4.png
Issue,32,32,Issue_32x32_4.png
Isuninst1000,32,32,Isuninst1000_32x32_4.png
Italic,16,16,Italic_16x16_4.png
Jdbgmgr100,32,32,Jdbgmgr100_32x32_4.png
Jgdwmie101,32,32,Jgdwmie101_32x32_8.png
Job116,16,16,Job116_16x16_4.png
Joy102,32,32,Joy102_32x32_8.png
Joy108,32,32,Joy108_32x32_4.png
Joy110,32,32,Joy110_32x32_4.png
Justify,16,16,Justify_16x16_4.png
Key,32,32,Key_32x32_4.png
KeyboardMouse,32,32,KeyboardMouse_32x32_4.png
Keys,32,32,Keys_32x32_4.png
Left,16,16,Left_16x16_4.png
Lights100,32,32,Lights100_32x32_4.png
Lights101,16,16,Lights101_16x16_4.png
